KYTREASNOX,MCALDT,TMYTM
2000003,01/31/1973,6.1081060299
2000003,02/28/1973,6.287272719
2000003,03/30/1973,6.8304132475
2000003,04/30/1973,6.6000269239
2000003,05/31/1973,6.952112922
2000003,06/29/1973,7.5484573643
2000003,07/31/1973,8.5451168981
2000003,08/31/1973,8.2929604666
2000003,09/28/1973,7.308993821
2000003,10/31/1973,6.9526011067
2000003,11/30/1973,7.0928124982
2000003,12/31/1973,7.1315953697
2000003,01/31/1974,6.7968042803
2000003,02/28/1974,6.8752178146
2000003,03/29/1974,8.1176136645
2000003,04/30/1974,8.5668013616
2000003,05/31/1974,8.2522128354
2000003,06/28/1974,8.5572765327
2000003,07/31/1974,8.6641441981
2000003,08/30/1974,9.379868272
2000003,09/30/1974,7.8864308108
2000003,10/31/1974,7.4260647368
2000003,11/29/1974,7.2711421156
2000003,12/31/1974,6.8812582279
2000003,01/31/1975,6.1189830134
2000003,02/28/1975,5.8218653716
2000003,03/31/1975,6.1837829204
2000003,04/30/1975,6.6519384697
2000003,05/30/1975,5.9933788292
2000003,06/30/1975,6.741545204
2000003,07/31/1975,7.1268596641
2000003,08/29/1975,7.2954291951
2000003,09/30/1975,7.5232344246
2000003,10/31/1975,6.1582730072
2000003,11/28/1975,6.4147699328
2000003,12/31/1975,5.9673363575
2000003,01/30/1976,5.5268879297
2000003,02/27/1976,6.0053073695
2000003,03/31/1976,5.9844442304
2000003,04/30/1976,5.9767209872
2000003,05/28/1976,6.6372232925
2000003,06/30/1976,6.3640283183
2000003,07/30/1976,5.9746295178
2000003,08/31/1976,5.8155619806
2000003,09/30/1976,5.7162324266
2000003,10/29/1976,5.4188646361
2000003,11/30/1976,4.9110121353
2000003,12/31/1976,4.7646638789
2000003,01/31/1977,5.5803469322
2000003,02/28/1977,5.450283675
2000003,03/31/1977,5.3441804584
2000003,04/29/1977,5.4189338856
2000003,05/31/1977,5.7054289049
2000003,06/30/1977,5.4328035516
2000003,07/29/1977,6.0967403827
2000003,08/31/1977,6.2330436366
2000003,09/30/1977,6.4724132722
2000003,10/31/1977,6.7787730936
2000003,11/30/1977,6.6244549425
2000003,12/30/1977,6.8583484367
2000003,01/31/1978,7.06735388
2000003,02/28/1978,7.1298874125
2000003,03/31/1978,7.155884001
2000003,04/28/1978,7.3463907554
2000003,05/31/1978,7.6959205091
2000003,06/30/1978,8.0811411757
2000003,07/31/1978,8.043028009
2000003,08/31/1978,8.2484993921
2000003,09/29/1978,8.5153291224
2000003,10/31/1978,9.5046464987
2000003,11/30/1978,9.7410944139
2000003,12/29/1978,10.058036714
2000003,01/31/1979,9.7798544518
2000003,02/28/1979,9.9039704282
2000003,03/30/1979,9.5829448357
2000003,04/30/1979,9.7647805459
2000003,05/31/1979,9.2951025274
2000003,06/29/1979,8.8250293237
2000003,07/31/1979,9.4201688015
2000003,08/31/1979,10.044825052
2000003,09/28/1979,10.595938853
2000003,10/31/1979,12.424414975
2000003,11/30/1979,11.175909234
2000003,12/31/1979,11.092976594
2000003,01/31/1980,11.623398512
2000003,02/29/1980,14.399873217
2000003,03/31/1980,14.954638002
2000003,04/30/1980,10.385291145
2000003,05/30/1980,8.5025992483
2000003,06/30/1980,8.1893387158
2000003,07/31/1980,8.9048309865
2000003,08/29/1980,11.004367664
2000003,09/30/1980,11.524240015
2000003,10/31/1980,12.956825856
2000003,11/28/1980,14.166692099
2000003,12/31/1980,12.880769686
2000003,01/30/1981,13.516885617
2000003,02/27/1981,13.668139222
2000003,03/31/1981,12.665590091
2000003,04/30/1981,14.522472491
2000003,05/29/1981,14.447172212
2000003,06/30/1981,13.983624071
2000003,07/31/1981,15.345303178
2000003,08/31/1981,15.830028962
2000003,09/30/1981,15.437026795
2000003,10/30/1981,13.782714146
2000003,11/30/1981,11.053503045
2000003,12/31/1981,12.85005811
2000003,01/29/1982,13.503029889
2000003,02/26/1982,13.537777441
2000003,03/31/1982,13.701097421
2000003,04/30/1982,13.349832207
2000003,05/28/1982,12.685987975
2000003,06/30/1982,13.949317754
2000003,07/30/1982,12.525928989
2000003,08/31/1982,11.179677271
2000003,09/30/1982,10.267120704
2000003,10/29/1982,9.3447318239
2000003,11/30/1982,9.1995724653
2000003,12/31/1982,8.73887791
2000003,01/31/1983,8.8297039285
2000003,02/28/1983,8.4584001157
2000003,03/31/1983,9.0961751473
2000003,04/29/1983,8.6071525188
2000003,05/31/1983,9.2215400323
2000003,06/30/1983,9.51798619
2000003,07/29/1983,10.178684537
2000003,08/31/1983,10.281859254
2000003,09/30/1983,9.6439734555
2000003,10/31/1983,9.4950201613
2000003,11/30/1983,9.6445343457
2000003,12/30/1983,9.7416539049
2000003,01/31/1984,9.5301398911
2000003,02/29/1984,9.9116990596
2000003,03/30/1984,10.685427944
2000003,04/30/1984,10.695993424
2000003,05/31/1984,11.870799692
2000003,06/29/1984,11.865439818
2000003,07/31/1984,11.54308494
2000003,08/31/1984,11.742885964
2000003,09/28/1984,11.039246884
2000003,10/31/1984,10.107665146
2000003,11/30/1984,9.4044399377
2000003,12/31/1984,9.0390277863
2000003,01/31/1985,8.8270077267
2000003,02/28/1985,9.661549955
2000003,03/29/1985,9.5582925293
2000003,04/30/1985,8.9077887194
2000003,05/31/1985,8.04633952
2000003,06/28/1985,7.6167748278
2000003,07/31/1985,8.137744445
2000003,08/30/1985,8.0417289463
2000003,09/30/1985,8.007386289
2000003,10/31/1985,7.8581577844
2000003,11/29/1985,7.7772086729
2000003,12/31/1985,7.5431172944
2000003,01/31/1986,7.5882364532
2000003,02/28/1986,7.3836847633
2000003,03/31/1986,6.7864290321
2000003,04/30/1986,6.4928462364
2000003,05/30/1986,6.840819644
2000003,06/30/1986,6.3959014532
2000003,07/31/1986,6.191249854
2000003,08/29/1986,5.4642697341
2000003,09/30/1986,5.7870312437
2000003,10/31/1986,5.7892046708
2000003,11/28/1986,5.7548371579
2000003,12/31/1986,6.0883432757
2000003,01/30/1987,5.9194023747
2000003,02/27/1987,5.9693305394
2000003,03/31/1987,6.1898096491
2000003,04/30/1987,6.8482205576
2000003,05/29/1987,7.0760910618
2000003,06/30/1987,6.780687497
2000003,07/31/1987,6.9436044945
2000003,08/31/1987,7.1945471388
2000003,09/30/1987,7.8800964604
2000003,10/30/1987,6.9873046661
2000003,11/30/1987,7.0913508464
2000003,12/31/1987,7.3016005465
2000003,01/29/1988,6.711099834
2000003,02/29/1988,6.5987083819
2000003,03/31/1988,6.8544692911
2000003,04/29/1988,7.0948906059
2000003,05/31/1988,7.6527361836
2000003,06/30/1988,7.5294381432
2000003,07/29/1988,7.8938365225
2000003,08/31/1988,8.2438020288
2000003,09/30/1988,8.1130094213
2000003,10/31/1988,7.9164730825
2000003,11/30/1988,8.59608382
2000003,12/30/1988,8.8433360194
2000003,01/31/1989,8.87939757
2000003,02/28/1989,9.3479548782
2000003,03/31/1989,9.6240563725
2000003,04/28/1989,9.0450567913
2000003,05/31/1989,8.763781667
2000003,06/30/1989,8.1300033851
2000003,07/31/1989,7.5990010095
2000003,08/31/1989,8.2862175222
2000003,09/29/1989,8.3879023302
2000003,10/31/1989,7.8309515476
2000003,11/30/1989,7.6676002526
2000003,12/29/1989,7.7853443539
2000003,01/31/1990,8.0729216134
2000003,02/28/1990,8.0477449318
2000003,03/30/1990,8.3134075067
2000003,04/30/1990,8.5308748691
2000003,05/31/1990,8.1176438321
2000003,06/29/1990,7.9556880551
2000003,07/31/1990,7.6661236694
2000003,08/31/1990,7.8627632522
2000003,09/28/1990,7.6904576736
2000003,10/31/1990,7.4525565426
2000003,11/30/1990,7.3495648792
2000003,12/31/1990,6.9127430678
2000003,01/31/1991,6.6040857166
2000003,02/28/1991,6.5036340696
2000003,03/28/1991,6.3627577885
2000003,04/30/1991,6.1746984616
2000003,05/31/1991,6.2546707457
2000003,06/28/1991,6.3315993509
2000003,07/31/1991,6.151871299
2000003,08/30/1991,5.7477452338
2000003,09/30/1991,5.4683861617
2000003,10/31/1991,5.1673063695
2000003,11/29/1991,4.7837695845
2000003,12/31/1991,4.1690846044
2000003,01/31/1992,4.3572840905
2000003,02/28/1992,4.4130318904
2000003,03/31/1992,4.6213426841
2000003,04/30/1992,4.3682063645
2000003,05/29/1992,4.264534898
2000003,06/30/1992,4.0562015686
2000003,07/31/1992,3.6918410809
2000003,08/31/1992,3.4899339286
2000003,09/30/1992,3.10813069
2000003,10/30/1992,3.6292213958
2000003,11/30/1992,3.9168974995
2000003,12/31/1992,3.672834372
2000003,01/29/1993,3.4417603161
2000003,02/26/1993,3.3079476019
2000003,03/31/1993,3.3448384641
2000003,04/30/1993,3.2972960403
2000003,05/28/1993,3.6262848062
2000003,06/30/1993,3.4963861402
2000003,07/30/1993,3.5772479914
2000003,08/31/1993,3.4193880395
2000003,09/30/1993,3.3755832109
2000003,10/29/1993,3.4543673758
2000003,11/30/1993,3.6286730139
2000003,12/31/1993,3.6421793103
2000003,01/31/1994,3.5134376897
2000003,02/28/1994,4.0587103528
2000003,03/31/1994,4.4708071439
2000003,04/29/1994,5.0403645028
2000003,05/31/1994,5.2897253664
2000003,06/30/1994,5.4172992307
2000003,07/29/1994,5.3420981468
2000003,08/31/1994,5.4604363287
2000003,09/30/1994,5.8778475086
2000003,10/31/1994,6.0392860964
2000003,11/30/1994,6.829046006
2000003,12/30/1994,7.1459299244
2000003,01/31/1995,6.729305156
2000003,02/28/1995,6.3315116028
2000003,03/31/1995,6.4146347711
2000003,04/28/1995,6.2378158032
2000003,05/31/1995,5.731648297
2000003,06/30/1995,5.6582934738
2000003,07/31/1995,5.6271736048
2000003,08/31/1995,5.6228938699
2000003,09/29/1995,5.6356635043
2000003,10/31/1995,5.5130889296
2000003,11/30/1995,5.3414364874
2000003,12/29/1995,5.1255648994
2000003,01/31/1996,4.89753946
2000003,02/29/1996,5.150971029
2000003,03/29/1996,5.408490355
2000003,04/30/1996,5.5897181811
2000003,05/31/1996,5.7212285971
2000003,06/28/1996,5.7076737181
2000003,07/31/1996,5.8530925481
2000003,08/30/1996,5.8488547315
2000003,09/30/1996,5.6691147163
2000003,10/31/1996,5.4400161178
2000003,11/29/1996,5.3872698778
2000003,12/31/1996,5.5010148575
2000003,01/31/1997,5.5796754789
2000003,02/28/1997,5.6987280836
2000003,03/31/1997,5.9654512472
2000003,04/30/1997,5.8768841769
2000003,05/30/1997,5.7967464517
2000003,06/30/1997,5.6866690322
2000003,07/31/1997,5.4973670195
2000003,08/29/1997,5.6865404874
2000003,09/30/1997,5.5598074322
2000003,10/31/1997,5.521910452
2000003,11/28/1997,5.6574073689
2000003,12/31/1997,5.5230646362
2000003,01/30/1998,5.3135554991
2000003,02/27/1998,5.4542489055
2000003,03/31/1998,5.4505547905
2000003,04/30/1998,5.455740026
2000003,05/29/1998,5.4676589129
2000003,06/30/1998,5.414280392
2000003,07/31/1998,5.4406434871
2000003,08/31/1998,5.0234438112
2000003,09/30/1998,4.5821167143
2000003,10/30/1998,4.4420145846
2000003,11/30/1998,4.6424408173
2000003,12/31/1998,4.6042645397
2000003,01/29/1999,4.6345602723
2000003,02/26/1999,5.0135916903
2000003,03/31/1999,4.8223013701
2000003,04/30/1999,4.8846572087
2000003,05/28/1999,5.1414329189
2000003,06/30/1999,5.1359519406
2000003,07/30/1999,5.2813259295
2000003,08/31/1999,5.4481320315
2000003,09/30/1999,5.3858900031
2000003,10/29/1999,5.515772701
2000003,11/30/1999,5.7575741645
2000003,12/31/1999,5.9815413318
2000003,01/31/2000,6.2356992746
2000003,02/29/2000,6.2181851925
2000003,03/31/2000,6.2990443762
2000003,04/28/2000,6.4494007478
2000003,05/31/2000,6.6387005732
2000003,06/30/2000,6.397755287
2000003,07/31/2000,6.3660429787
2000003,08/31/2000,6.2863722989
2000003,09/29/2000,6.2042492926
2000003,10/31/2000,6.2027237419
2000003,11/30/2000,6.0167360893
2000003,12/29/2000,5.4313686226
2000003,01/31/2001,4.6624041153
2000003,02/28/2001,4.5321873245
2000003,03/30/2001,4.1615747641
2000003,04/30/2001,4.0349691585
2000003,05/31/2001,3.7800191499
2000003,06/29/2001,3.8781393965
2000003,07/31/2001,3.4574865888
2000003,08/31/2001,3.330980397
2000003,09/28/2001,2.5118875259
2000003,10/31/2001,1.9551168966
2000003,11/30/2001,2.0466490723
2000003,12/31/2001,2.0677932312
2000003,01/31/2002,2.2690215054
2000003,02/28/2002,2.1918210469
2000003,03/28/2002,2.6902217837
2000003,04/30/2002,2.2414070532
2000003,05/31/2002,2.2610160083
2000003,06/28/2002,1.951222409
2000003,07/31/2002,1.7227214499
2000003,08/30/2002,1.7464810135
2000003,09/30/2002,1.4301020336
2000003,10/31/2002,1.3370191877
2000003,11/29/2002,1.4973016612
2000003,12/31/2002,1.2085124593
2000003,01/31/2003,1.2842359979
2000003,02/28/2003,1.234303422
2000003,03/31/2003,1.1442514928
2000003,04/30/2003,1.1501491894
2000003,05/30/2003,1.1568174988
2000003,06/30/2003,1.0387507358
2000003,07/31/2003,1.2256795578
2000003,08/29/2003,1.2817370845
2000003,09/30/2003,1.0542850129
2000003,10/31/2003,1.2385377316
2000003,11/28/2003,1.433189286
2000003,12/31/2003,1.2264228379
2000003,01/30/2004,1.2246861728
2000003,02/27/2004,1.2001153365
2000003,03/31/2004,1.1449729354
2000003,04/30/2004,1.6066150818
2000003,05/28/2004,1.8033758781
2000003,06/30/2004,2.0110260297
2000003,07/30/2004,2.0845673564
2000003,08/31/2004,1.9430484651
2000003,09/30/2004,2.157225303
2000003,10/29/2004,2.2052379205
2000003,11/30/2004,2.6226448082
2000003,12/31/2004,2.7493314035
2000003,01/31/2005,2.9355939478
2000003,02/28/2005,3.2473824989
2000003,03/31/2005,3.4662964787
2000003,04/29/2005,3.3719302179
2000003,05/31/2005,3.3687677358
2000003,06/30/2005,3.489045428
2000003,07/29/2005,3.8482055267
2000003,08/31/2005,3.7220631835
2000003,09/30/2005,4.061243676
2000003,10/31/2005,4.3092542546
2000003,11/30/2005,4.3927867192
2000003,12/30/2005,4.3888611917
2000003,01/31/2006,4.544350691
2000003,02/28/2006,4.6787961928
2000003,03/31/2006,4.8092282024
2000003,04/28/2006,4.8545237731
2000003,05/31/2006,5.0341421945
2000003,06/30/2006,5.2052160158
2000003,07/31/2006,5.0436419177
2000003,08/31/2006,4.9281296508
2000003,09/29/2006,4.8615642796
2000003,10/31/2006,4.8553478053
2000003,11/30/2006,4.8074022345
2000003,12/29/2006,4.9383943468
2000003,01/31/2007,4.985878722
2000003,02/28/2007,4.8357259285
2000003,03/30/2007,4.8194486245
2000003,04/30/2007,4.8740431882
2000003,05/31/2007,4.9611975539
2000003,06/29/2007,4.9361497435
2000003,07/31/2007,4.7198495989
2000003,08/31/2007,4.3630713747
2000003,09/28/2007,4.0357956408
2000003,10/31/2007,4.0260475518
2000003,11/30/2007,3.1202631693
2000003,12/31/2007,3.2729280783
2000003,01/31/2008,2.0810455097
2000003,02/29/2008,1.688652293
2000003,03/31/2008,1.4615557377
2000003,04/30/2008,1.9071634416
2000003,05/30/2008,2.2626884506
2000003,06/30/2008,2.3637789774
2000003,07/31/2008,2.2522529389
2000003,08/29/2008,2.210090398
2000003,09/30/2008,1.8912181681
2000003,10/31/2008,1.4402556019
2000003,11/28/2008,0.8476211339
2000003,12/31/2008,0.4088812593
2000003,01/30/2009,0.5786749271
2000003,02/27/2009,0.7875744098
2000003,03/31/2009,0.6110437065
2000003,04/30/2009,0.4624414891
2000003,05/29/2009,0.5412401587
2000003,06/30/2009,0.5405778959
2000003,07/31/2009,0.5064531787
2000003,08/31/2009,0.4423523295
2000003,09/30/2009,0.4165100719
2000003,10/30/2009,0.4082623947
2000003,11/30/2009,0.2829093289
2000003,12/31/2009,0.5018858451
2000003,01/29/2010,0.3100866108
2000003,02/26/2010,0.3740237067
2000003,03/31/2010,0.4649995481
2000003,04/30/2010,0.4910497834
2000003,05/28/2010,0.4692378978
2000003,06/30/2010,0.3957114567
2000003,07/30/2010,0.3668234761
2000003,08/31/2010,0.3062929232
2000003,09/30/2010,0.2989716903
2000003,10/29/2010,0.2798473937
2000003,11/30/2010,0.3217147648
2000003,12/31/2010,0.3744848942
2000003,01/31/2011,0.3135836347
2000003,02/28/2011,0.3129620294
2000003,03/31/2011,0.3510745058
2000003,04/29/2011,0.3017453449
2000003,05/31/2011,0.2372593776
2000003,06/30/2011,0.2407961393
2000003,07/29/2011,0.3395288253
2000003,08/31/2011,0.1474848172
2000003,09/30/2011,0.2154200586
2000003,10/31/2011,0.1591279636
2000003,11/30/2011,0.1673135062
2000003,12/30/2011,0.1761024249
2000003,01/31/2012,0.1526563049
2000003,02/29/2012,0.2107115837
2000003,03/30/2012,0.2478812288
2000003,04/30/2012,0.2101302714
2000003,05/31/2012,0.2286347469
2000003,06/29/2012,0.2943662841
2000003,07/31/2012,0.1944755811
2000003,08/31/2012,0.221632423
2000003,09/28/2012,0.2141935284
2000003,10/31/2012,0.2222423138
2000003,11/30/2012,0.2196090952
2000003,12/31/2012,0.1875005091
2000003,01/31/2013,0.1852486221
2000003,02/28/2013,0.1734870743
2000003,03/28/2013,0.1940246538
2000003,04/30/2013,0.146480466
2000003,05/31/2013,0.1845553787
2000003,06/28/2013,0.2124553764
2000003,07/31/2013,0.1686893705
2000003,08/30/2013,0.1863849591
2000003,09/30/2013,0.1267323533
2000003,10/31/2013,0.1497966065
2000003,11/29/2013,0.1784042239
2000003,12/31/2013,0.1802203364
2000003,01/31/2014,0.1614771691
2000003,02/28/2014,0.1651571676
2000003,03/31/2014,0.1496489388
2000003,04/30/2014,0.1074140412
2000003,05/30/2014,0.1361873764
2000003,06/30/2014,0.1503381074
2000003,07/31/2014,0.1504777217
2000003,08/29/2014,0.1145252365
2000003,09/30/2014,0.1471681426
2000003,10/31/2014,0.1510464746
2000003,11/28/2014,0.1805905006
2000003,12/31/2014,0.3119407789
