,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
196307,1.13,-0.1,-0.91,-0.95,-1.39
196308,3.66,4.77,6.43,6.22,9.7
196309,-2.78,-0.76,-0.76,-0.81,-2.74
196310,0.74,3.57,2.04,5.7,3.06
196311,-0.63,-0.24,-0.83,-0.92,0.12
196312,2.66,2.08,2.64,2.33,0.78
196401,2.89,2.77,2.37,3.62,1.56
196402,1.31,1.35,2.04,2.78,3.12
196403,0.95,0.59,2.33,3.1,6.02
196404,2.35,1.48,-0.37,-2.48,-3.22
196405,1.67,1.5,1.48,1.93,1.37
196406,1.76,2.05,1.27,1,1.92
196407,1.38,3.64,2.23,0.18,0.95
196408,-0.96,-0.49,-1.28,-2.13,-2.07
196409,1.55,3.35,3.65,3,5.69
196410,1,1.58,1.31,-1.08,0.4
196411,0.35,0.27,1.45,-0.89,-2.72
196412,1.5,0.18,0.07,-0.38,-0.78
196501,1.29,3.67,4.65,6.41,6.81
196502,-0.35,-0.69,0.84,3.04,4.38
196503,-1.41,-0.42,-2.09,-0.67,-0.34
196504,1.98,3.83,4.04,3.89,5.15
196505,0.86,-1.69,0.29,-0.54,-1.4
196506,-3.79,-4.05,-5.06,-6.16,-9.29
196507,1.96,0.8,0.77,2.48,5.59
196508,1.31,2.48,4.1,4.36,7.4
196509,4.51,2.19,2.43,2.21,5.51
196510,2.55,1.89,2.64,4.03,6.96
196511,-0.74,-2.08,1.36,2.14,6.46
196512,0.55,1.11,0.95,1.65,4.76
196601,0.5,-0.47,0.9,1.89,6.27
196602,-2.86,-2.11,-0.86,1.37,5.71
196603,-2.48,-2.11,-3.14,-0.9,-0.65
196604,1.36,1.52,1.77,4.72,5.36
196605,-4.78,-3.62,-5,-5.15,-11.16
196606,-2.11,-1.32,-1.73,0.08,1.99
196607,-0.55,-1.05,-0.14,-2.73,-2.12
196608,-6.72,-7.59,-7.63,-7.28,-8.71
196609,1.61,0.17,-0.97,-2.23,-5.18
196610,7.44,5.05,4.84,2.37,-2.79
196611,-1.5,-0.82,1.85,6.02,10.86
196612,1.15,-0.12,1.4,-0.5,0.67
196701,4.98,7.8,8.79,10.8,14.37
196702,-0.02,0.3,0.89,3.22,2.4
196703,3.61,3.12,5.39,5.35,5.6
196704,1.24,4.79,3.94,6.22,6.21
196705,-3.36,-4.46,-4.08,-4.16,-3.95
196706,1.99,1.01,2.96,3.81,4.45
196707,2.37,5.97,5.02,7.38,7.8
196708,-1.18,-0.33,-0.45,0.1,-0.37
196709,2.33,2.54,5.02,2.7,3.97
196710,-2.62,-4.06,-1.63,-3.49,-2.68
196711,1.32,1.06,0.16,0.65,0.02
196712,2.35,3.1,3.15,4.09,5.37
196801,-0.67,-3.13,-4.75,-6.5,-5.94
196802,-1.98,-3.06,-2.99,-4.05,-6.69
196803,-0.86,0.45,1.82,0.93,2.52
196804,4.82,9.19,10.78,12.37,15
196805,0.76,2.16,2.94,3.87,6.6
196806,3.2,1.6,0.23,-0.75,-0.5
196807,1.7,-3.92,-3.96,-4.56,-4.13
196808,1.09,1.72,1.57,3.5,2.91
196809,2.73,4.05,5.31,5.47,7.4
196810,2.1,-1.02,1.98,1.04,-0.01
196811,6.38,5.34,3.85,6.04,9.8
196812,-4.05,-3.69,-2.96,-3.99,-2.44
196901,0.47,-2.03,-0.58,-1.79,-0.58
196902,-4.59,-3.62,-4.23,-6.93,-10.69
196903,2.8,3.86,3.74,1.41,2.99
196904,1.81,3.24,1.79,0.15,2.89
196905,1.51,-0.9,1.1,-0.81,-0.68
196906,-6.47,-3.39,-6.38,-7.85,-12.82
196907,-5.99,-5.5,-6.49,-8.27,-9.7
196908,3.27,5.56,5.19,6.07,9.23
196909,-4.12,-1.8,-0.47,-2.59,-2.03
196910,3.95,5.02,5.48,8.39,9.17
196911,-3.69,-2.68,-2.71,-3.22,-5.19
196912,-1.52,-0.82,-2.43,-3.57,-5.02
197001,-6.46,-7.27,-8.06,-8.89,-10.16
197002,6.48,5.01,5.02,6.06,5.25
197003,0.78,-0.06,0.16,-1.82,-4.49
197004,-8.03,-8.87,-11.67,-12.4,-19.41
197005,-3.42,-6.21,-9.37,-10.02,-10.07
197006,-4.01,-4.73,-5.46,-8.6,-9.42
197007,8.11,5.85,8.19,9.78,6.94
197008,3.75,5.41,5.26,7.98,10.01
197009,1.4,4.44,6.32,8.94,16.98
197010,0.25,-0.66,-3.13,-5.9,-9.57
197011,5.93,5.07,4.98,4.56,1.87
197012,5.15,6.44,7,7.53,7.17
197101,3.03,4.06,7.47,10.34,13.38
197102,0.76,2.1,2.35,1.71,3.21
197103,2.81,4.58,5.11,5.64,7.8
197104,2.19,4.11,5.06,6.23,5.14
197105,-3.33,-4.4,-2.95,-3.44,-4.97
197106,1.14,0.04,0.72,-1.98,-2.05
197107,-2.47,-4.33,-4.51,-6.29,-8.96
197108,1.02,6.18,6.35,5.28,8.63
197109,-0.18,-0.43,-1.19,-0.04,-2.04
197110,-1.95,-4.05,-6.53,-6.7,-6.93
197111,0.73,0.19,-1.01,-0.64,-1.69
197112,7.81,8.99,10.52,10.44,12.49
197201,0.83,1.92,3.6,6.37,10.26
197202,2.17,3.07,3.29,5.27,4.16
197203,-0.11,2.53,0.82,-0.82,0.46
197204,0.65,-0.09,1.46,2.08,0.38
197205,2.24,1.27,1.71,1.08,0.25
197206,-0.4,-2.41,-2.52,-3.84,-7.01
197207,0.55,0.24,-0.79,-3.27,-5.04
197208,4.43,3.64,4.2,1.86,-0.36
197209,0.81,-0.93,-2.35,-3.67,-3.79
197210,2.24,-0.21,-0.24,0.63,-2.15
197211,4.91,4.43,5.09,6.75,6.24
197212,1.69,1.05,0.28,0.16,-3.02
197301,-1.18,-0.01,-6.27,-7.48,-8.79
197302,-3.63,-2.64,-5.38,-6.32,-10.22
197303,0.25,-0.38,-2.64,-2.33,-2.65
197304,-2.22,-5.73,-6.68,-7.39,-9.96
197305,-0.98,-1.12,-3.62,-5.85,-10.2
197306,0.37,-0.71,-3.36,-3.49,-5.39
197307,2.04,4.71,12.57,11.09,17.84
197308,-3.48,-2.42,-2.08,-4.55,-4.32
197309,4.27,3.29,9.86,9.43,12.04
197310,-0.4,1.11,0.27,-2.83,-1.9
197311,-8.94,-10.69,-17.29,-18.71,-23.85
197312,2.53,0.42,1.28,-0.78,-0.09
197401,-1.91,0.54,2.69,4.52,9.58
197402,-0.17,-0.22,1.34,0.81,2.69
197403,-1.92,-2.32,-3.05,-2.71,-3.42
197404,-4.62,-3.8,-4.98,-4.85,-4.66
197405,-2.48,-2.62,-5.27,-7.57,-5.63
197406,-1.51,-0.8,-2.71,-4.39,-4.83
197407,-6.78,-7.96,-7.29,-7.95,-9.02
197408,-8.57,-8.55,-8.84,-7.66,-8.21
197409,-10.11,-11.82,-11.82,-12.22,-10.87
197410,18.68,14.56,17.87,10.24,10.13
197411,-4.39,-3.6,-4.63,-3.88,-4.47
197412,-1.38,-2.55,-5.09,-4.37,-7.86
197501,10.19,15.41,18.11,21.82,32.66
197502,5.55,7.13,5.73,6.29,8.08
197503,0.51,3.79,6.17,9,11
197504,4.61,3.33,7.07,6.3,7.97
197505,6.11,4.05,4.5,8.23,6.78
197506,4.28,5.48,6.05,8.18,7.97
197507,-5.02,-6.78,-6.49,-6.96,-7.76
197508,-1.47,-1.73,-3.02,-4.8,-5.52
197509,-3.26,-2.98,-4.65,-4.9,-4.5
197510,4.43,7.61,6.28,5.93,5.93
197511,2.01,4.24,2.89,3.8,4.51
197512,-0.05,-1.83,-1.31,-2.2,-2.46
197601,10.06,11.57,15.34,16.84,19.89
197602,-1.21,-0.27,2.8,3.17,6.42
197603,3.16,3.29,1.69,1.15,1.52
197604,0.58,-2.37,-0.41,-1.98,-4.01
197605,0.1,-1.57,-1.45,-1.02,-2.82
197606,4.08,4.28,5.18,5.09,6.29
197607,0.3,-1.01,-0.66,-0.8,-3.1
197608,1.03,0.58,-1.43,-2.23,-3.19
197609,3.62,1.68,1.47,2.24,1.99
197610,-1.17,-2.1,-2.53,-3,-4.98
197611,0.67,-0.63,1.31,3.1,3.65
197612,5.57,5.49,6.89,6.93,9.06
197701,-1.81,-5.6,-4.65,-3.46,-3.32
197702,-1.52,-1.3,-1.41,-2.44,-2.58
197703,-1.08,-1.5,-0.71,0.54,-0.62
197704,1.42,-1.59,1.72,1.47,0.41
197705,-0.24,-2.34,-1.3,-0.1,-0.63
197706,4.14,4.89,5.55,6.91,9.15
197707,-1.2,-1.32,-1.11,-1.63,-0.83
197708,-2.84,0.1,-0.61,-1.33,-0.07
197709,0.69,-0.24,-0.44,-0.17,0.85
197710,-3.08,-4.52,-3.95,-4.12,-4.3
197711,3.03,3.53,5.6,7.7,9.62
197712,1.05,0.3,0.62,0.64,1.46
197801,-5.3,-5.17,-6.15,-6.33,-4.96
197802,-0.43,-2.14,-1.25,-0.08,1.27
197803,2.83,1.13,4.91,5.27,9.09
197804,5.14,9.98,10.83,10.27,11.26
197805,1.13,1.47,2.51,4.39,7.28
197806,-1.48,-1.22,-0.91,-1.13,-0.39
197807,3.14,6.12,6.3,7.37,9.3
197808,3.44,3.28,4.64,4.81,8.2
197809,1.81,-1.15,-2.22,-2.5,-2.84
197810,-7.91,-9.62,-11.61,-15.08,-20.44
197811,3.36,2.35,3.5,3.85,6.49
197812,1.05,2.27,2.05,1.57,1.85
197901,4.36,4.79,5.34,4.99,6.58
197902,-1.22,-2.48,-4,-4.19,-6.06
197903,4.61,6.21,6.58,9.13,10.03
197904,0.97,0.13,0.41,1.19,1.94
197905,-1.05,-1.27,-1.73,-1.02,-2.53
197906,5.18,3.23,4.86,5.9,4.8
197907,1.64,0.96,1.51,1.84,3.13
197908,4.87,5.89,7.02,7.71,8.97
197909,0.98,0.09,0.02,-1.64,-1.16
197910,-4.64,-8.44,-8.03,-8.03,-10.52
197911,5.86,6.03,6.61,5.55,8.66
197912,0.78,2.2,3.38,4.39,7.11
198001,6.61,6.26,5.08,6.56,6.89
198002,4.53,-2.22,-3.65,-3.85,-1.41
198003,-11.09,-11.39,-10.43,-10.45,-17.3
198004,7.07,3.8,4.13,3.45,5.87
198005,4.8,6.16,7.3,6.37,8.03
198006,3.28,4.58,2.72,3.82,3.35
198007,3.71,6.46,9.5,10.67,13.48
198008,1.15,1.58,1.93,5.92,6.77
198009,0.75,3.5,4.14,3.87,5.86
198010,1.03,2.17,1.46,3.32,2.81
198011,6.45,13.32,11.54,11.89,11.72
198012,-0.63,-4.11,-4.12,-3.83,-4.01
198101,-1.37,-5.1,-4.37,-6.05,-6.49
198102,1.82,2,2.26,2.44,-0.69
198103,2.47,2.92,6.51,7.01,11.37
198104,0.32,-3.39,-0.71,-0.18,2.05
198105,1.11,-0.28,1.75,1.68,5.08
198106,0.68,0.45,-1.9,-2.56,-5.41
198107,-1.38,-3.3,0.96,2.94,1.11
198108,-2.72,-5.3,-5.72,-7.11,-8.83
198109,-0.66,-4.33,-7.72,-8.99,-9.89
198110,5.71,2.61,5.44,7.72,11.95
198111,4.43,4.93,4.91,5.37,1.49
198112,-2.37,-0.65,-3.11,-4.4,-4.17
198201,1.19,0.27,-4.12,-6.89,-4.68
198202,-1.66,-2.8,-4.47,-9.86,-8.82
198203,1.84,0.62,-1.34,-3.49,-4.31
198204,3.54,4.33,4.07,5.06,6.8
198205,-2.48,-2.88,-2.02,-2.32,-5.62
198206,-0.35,-0.92,-3.42,-3.55,-3.27
198207,-0.74,0.59,-3.01,-5.03,-5.57
198208,11.38,11.47,12.86,11.91,12.19
198209,1.33,3.34,1.63,2.08,0.34
198210,9.61,12.23,11.43,11.58,17.36
198211,4.53,6.07,5.71,3.28,6.91
198212,0.34,1.95,1.21,2.54,1.17
198301,2.9,2.7,3.57,5.26,8.66
198302,2.2,4.08,3.51,4.71,1.65
198303,2.99,3.7,4.53,3.72,2.8
198304,6.41,9.56,6.71,6.6,7.25
198305,-2.33,-1.18,2.42,3.76,6.55
198306,1.45,4.81,4.2,5.2,4.8
198307,-2.18,-1.6,-3.65,-4.01,-6.41
198308,1.11,0.65,1.36,0.34,-2.2
198309,3.45,2.61,0.67,0.67,-1.11
198310,0.88,-0.58,-4.14,-4.95,-8.64
198311,1.31,1.54,3.87,5.03,5.38
198312,-2.81,0.33,0.18,0.3,-1.74
198401,0.12,-2.06,1.35,-0.73,-5.09
198402,-3.4,-3.64,-3.07,-6,-4.8
198403,-0.74,2.63,1.67,2.7,0.5
198404,0.46,1.18,1.44,-0.21,-1.77
198405,-3.2,-5.11,-5.63,-6.27,-7.32
198406,5.41,2.21,1.21,2.23,1.64
198407,0.02,-0.72,-2.86,-4.04,-6.65
198408,7.54,11.46,12.24,12.79,16.36
198409,1.82,0.82,-0.68,-1.7,-2.76
198410,2.55,0.32,-0.31,-2.35,-1.68
198411,1.06,-1.26,-1.59,-1.4,-3.63
198412,2.41,3.02,1.94,1.95,2.36
198501,4.11,8.91,9.26,9.92,14.49
198502,2.9,1.16,2.54,1.36,0.33
198503,3.43,-1.06,-1.36,-0.96,-2.76
198504,-0.4,0.79,0.01,-0.77,-3.37
198505,6.85,6.67,4.62,4.54,4.32
198506,2.89,1.43,0.53,1.5,1.21
198507,-3.04,1.1,-0.42,1.04,2.41
198508,0.98,-0.86,-1.12,-0.42,-2.05
198509,-2.2,-2.97,-3.64,-5.29,-7.11
198510,5.15,4.84,5.28,4.15,3.27
198511,7.27,7.43,5.88,6.2,8.28
198512,4.72,5.45,3.67,2.98,4.6
198601,1.47,0.71,1.34,0.29,0.93
198602,8.08,6.96,9.24,7.36,7.61
198603,6.27,5.83,5.18,4.76,4.13
198604,-0.29,-0.47,-1.7,-1.75,-0.87
198605,5.37,4.78,5.93,5.16,4.36
198606,5.02,1.36,-0.65,-0.83,-0.85
198607,-1.35,-6.29,-6.72,-8.46,-9.63
198608,6.51,7.39,7.11,5.22,5.89
198609,-8.71,-7.46,-8.33,-8.45,-8.55
198610,5.81,3.94,6.03,5.61,5.99
198611,1.49,2.28,1.1,1.81,0.89
198612,-2.3,-2.39,-2.94,-3.15,-3.87
198701,10.98,12.82,13.4,13.64,15.15
198702,0.62,4.26,6.23,7.69,9.17
198703,2,3.02,1.77,0.85,0.69
198704,-2.8,-0.62,-0.39,-2.46,-2.73
198705,1.02,0.16,0.8,1.14,0.59
198706,5.47,5.03,4.47,4.66,1.71
198707,2.82,5.68,4.27,5.62,4.26
198708,3.6,4.24,4.34,2.48,5.6
198709,-1.61,-0.28,-3.24,-2.18,-4.68
198710,-13.7,-22.12,-24.54,-26.68,-30.97
198711,-7.57,-6.72,-7.19,-6.85,-10.09
198712,3.89,6.44,8.4,10.59,10.23
198801,7.46,4.13,2.48,3.65,4.11
198802,2.05,4.77,6.09,7.75,8.21
198803,-1.88,-1.94,-3.61,-0.23,-2.15
198804,1.51,0.4,0.87,0.88,1.17
198805,1.56,0.04,0.29,-0.17,-0.81
198806,1.51,5.24,6.76,7.12,8.29
198807,0.51,-0.83,-1.04,-0.86,-2.53
198808,-1.02,-2.91,-2.8,-3.67,-4.99
198809,2.58,3.96,4.83,4.83,3.56
198810,2.67,2.47,1.36,1.97,-0.97
198811,-0.89,-1.61,-1.44,-2.27,-4.13
198812,1.34,2.03,2.08,2.45,3.53
198901,4.73,6.51,7.72,7.65,7.27
198902,-1.93,-1.81,-1.84,-1.8,-0.78
198903,2.6,1.77,2.46,2.52,1.71
198904,4.65,5.39,5.08,4.95,4.55
